iter	RMSE
0	1.031016728
1	0.9372109172
2	0.8659761426
3	0.8113137128
4	0.7671319299
5	0.72803839
6	0.6960414729
7	0.6758788318
8	0.6522686428
9	0.6337975284
10	0.6232781378
11	0.6125178693
12	0.5994886643
13	0.5889617293
14	0.5798014728
15	0.5726569434
16	0.5678091695
17	0.5603103893
18	0.5572238611
19	0.5510107734
20	0.5484590526
21	0.5442424918
22	0.5418622812
23	0.5365980797
24	0.5341782558
25	0.5327776165
26	0.530082919
27	0.528702712
28	0.5261242863
29	0.5243536746
30	0.521355092
31	0.5193168544
32	0.5158192254
33	0.5137491126
34	0.5123825087
35	0.5101435629
36	0.5070439185
37	0.5051034981
38	0.5023603059
39	0.5011141445
40	0.5000984649
41	0.4981296689
42	0.4959051879
43	0.4939093246
44	0.4930488771
45	0.4910088915
46	0.4894862438
47	0.4880891834
48	0.4868690665
49	0.4853549445
50	0.4837660795
51	0.4817143683
52	0.4806311186
53	0.4789578518
54	0.4776553184
55	0.4765773386
56	0.475149035
57	0.4740589675
58	0.4730927179
59	0.4718072636
60	0.4709230017
61	0.4692423829
62	0.4682169108
63	0.4669798957
64	0.4655073342
65	0.4640219965
66	0.4630706381
67	0.4611549598
68	0.4600144269
69	0.4592262541
70	0.4580696842
71	0.4569681159
72	0.4556755993
73	0.4545977462
74	0.4535743184
75	0.4527882628
76	0.4522112423
77	0.4504719572
78	0.4492348942
79	0.4485979777
80	0.4479406457
81	0.447064809
82	0.4462277789
83	0.4455240224
84	0.4445031096
85	0.4436326803
86	0.4428130298
87	0.4419418258
88	0.4411308083
89	0.4406352639
90	0.4395879189
91	0.4387507846
92	0.438024064
93	0.4368991391
94	0.4362833939
95	0.4357689752
96	0.4348291788
97	0.4340511118
98	0.4335224458
99	0.4329409068
100	0.4323902819
101	0.431720714
102	0.4308423141
103	0.4301638427
104	0.429548451
105	0.4288593614
106	0.4282360983
107	0.4272526565
108	0.4261795159
109	0.4256787883
110	0.4249722279
111	0.4242998981
112	0.4234068862
113	0.4228946331
114	0.4222132891
115	0.4219025295
116	0.4212351338
117	0.4205729344
118	0.4199719328
119	0.4193416916
120	0.418881861
121	0.4182391013
122	0.4176026591
123	0.4171367925
124	0.4163772431
125	0.4159400551
126	0.4154560424
127	0.4147852464
128	0.41414451
129	0.4135376953
130	0.4130882866
131	0.4127464322
132	0.4122216402
133	0.4117189155
134	0.4108045234
135	0.4100159084
136	0.4095116
137	0.4089711199
138	0.4083502079
139	0.4078566527
140	0.4072468129
141	0.4068034318
142	0.4061175678
143	0.4056144336
144	0.4050268562
145	0.4044743786
146	0.4039369072
147	0.4034834838
148	0.4031043996
149	0.4023071288
150	0.4018270953
151	0.4014515735
152	0.4008595952
153	0.400666224
154	0.3998207427
155	0.3993810427
156	0.3986785583
157	0.3982995066
158	0.3979500623
159	0.3975150233
160	0.3972302053
161	0.3968925349
162	0.3961083445
163	0.3957539113
164	0.3952475399
165	0.3947762219
166	0.394227957
167	0.3937287102
168	0.3932355661
169	0.3929219357
170	0.3925337236
171	0.3920598973
172	0.3916201863
173	0.3911979355
174	0.3908773007
175	0.3905141255
176	0.3899025652
177	0.3893303694
178	0.3889235846
179	0.3885221274
180	0.3879708392
181	0.3876167485
182	0.3872452015
183	0.3868280852
184	0.386560222
185	0.3861395787
186	0.3855130168
187	0.3851722664
188	0.3845650913
189	0.3842916825
190	0.3839325085
191	0.3834173921
192	0.3829659069
193	0.3825839565
194	0.3823668037
195	0.3821398695
196	0.3817133961
197	0.3814160724
198	0.3811370217
199	0.3804211407
200	0.3801136118
201	0.3797362732
202	0.3792626669
203	0.3789380071
204	0.3785942769
205	0.3782007214
206	0.3778306478
207	0.3773891168
208	0.3769259998
209	0.3766431636
210	0.3763380009
211	0.375783913
212	0.3753629345
213	0.3750306325
214	0.3747815531
215	0.3742203515
216	0.3734994324
217	0.3731094054
218	0.3728509758
219	0.3725109724
220	0.3722343342
221	0.371970869
222	0.3718141217
223	0.371498435
224	0.3709702536
225	0.3706460727
226	0.3703964689
227	0.3701516853
228	0.3698336468
229	0.3695964999
230	0.3692457401
231	0.3690915746
232	0.3687757484
233	0.3684249114
234	0.368062365
235	0.3677354187
236	0.3673143689
237	0.3670338125
238	0.366737842
239	0.3663434142
240	0.3660354987
241	0.365759214
242	0.3654388705
243	0.3651249044
244	0.364860469
245	0.3646253089
246	0.3643254047
247	0.3640908986
248	0.3636583614
249	0.3633243262
250	0.3630616413
251	0.3625699513
252	0.3623637117
253	0.362098503
254	0.3617796087
255	0.3616228641
256	0.3613463167
257	0.3610936858
258	0.3608194169
259	0.3606426482
260	0.3604246856
261	0.3601830185
262	0.3597736858
263	0.359443809
264	0.3591375197
265	0.3589673092
266	0.3586924532
267	0.3579265974
268	0.3576872288
269	0.3571799552
270	0.3567626982
271	0.356452619
272	0.3562211736
273	0.3559343173
274	0.3555558227
275	0.3550445419
276	0.3547331239
277	0.3545334752
278	0.3541969119
279	0.3540465879
280	0.3538191142
281	0.3536723196
282	0.3533568741
283	0.3530296863
284	0.352795896
285	0.3525476256
286	0.3522476353
287	0.3517519594
