iter	Passed	Remaining
0	6	3047
1	11	2975
2	14	2466
3	19	2438
4	26	2645
5	32	2688
6	37	2635
7	42	2586
8	46	2528
9	51	2499
10	66	2953
11	81	3295
12	84	3154
13	87	3020
14	90	2919
15	93	2838
16	105	2999
17	108	2914
18	112	2848
19	131	3165
20	145	3330
21	150	3277
22	154	3199
23	157	3130
24	163	3101
25	169	3086
26	179	3138
27	184	3108
28	188	3064
29	192	3017
30	195	2962
31	198	2906
32	202	2858
33	204	2808
34	210	2797
35	216	2786
36	221	2768
37	227	2762
38	232	2752
39	239	2750
40	244	2739
41	249	2722
42	252	2684
43	255	2648
44	258	2615
45	261	2581
46	264	2554
47	268	2525
48	271	2496
49	274	2468
50	277	2444
51	281	2422
52	287	2422
53	290	2395
54	293	2371
55	295	2346
56	299	2325
57	304	2321
58	310	2324
59	317	2326
60	324	2338
61	335	2371
62	341	2366
63	348	2376
64	352	2360
65	355	2338
66	358	2317
67	362	2303
68	365	2284
69	368	2263
70	373	2254
71	376	2235
72	379	2217
73	383	2209
74	391	2216
75	397	2217
76	403	2215
77	408	2210
78	411	2192
79	414	2176
80	418	2162
81	422	2155
82	425	2138
83	428	2122
84	431	2107
85	437	2107
86	442	2099
87	446	2092
88	451	2083
89	453	2067
90	457	2057
91	460	2043
92	463	2029
93	466	2015
94	469	2002
95	474	1998
96	482	2003
97	486	1993
98	488	1980
99	491	1967
100	496	1961
101	503	1965
102	510	1967
103	518	1973
104	529	1990
105	538	2000
106	557	2047
107	575	2090
108	588	2111
109	593	2102
110	598	2095
111	604	2095
112	608	2083
113	611	2070
114	614	2058
115	617	2045
116	621	2034
117	626	2026
118	634	2032
119	640	2028
120	646	2024
121	650	2015
122	653	2003
123	657	1992
124	660	1980
125	672	1995
126	680	1997
127	688	2000
128	698	2010
129	713	2031
130	731	2060
131	737	2056
132	747	2061
133	752	2056
134	759	2052
135	764	2044
136	766	2031
137	770	2019
138	774	2010
139	801	2061
140	810	2064
141	816	2058
142	822	2052
143	825	2039
144	828	2028
145	831	2016
146	836	2008
147	841	2001
148	845	1990
149	849	1982
150	857	1982
151	868	1987
152	878	1992
153	881	1980
154	888	1978
155	907	2000
156	917	2005
157	924	2001
158	929	1992
159	940	1998
160	945	1991
161	949	1980
162	953	1971
163	993	2035
164	1005	2041
165	1027	2066
166	1039	2071
167	1058	2091
168	1066	2088
169	1111	2158
170	1127	2169
171	1150	2193
172	1160	2192
173	1180	2211
174	1192	2214
175	1197	2204
176	1203	2196
177	1217	2202
178	1223	2194
179	1231	2189
180	1235	2176
181	1239	2165
182	1252	2170
183	1266	2174
184	1270	2163
185	1276	2155
186	1280	2143
187	1286	2135
188	1289	2122
189	1293	2109
190	1297	2098
191	1301	2088
192	1311	2086
193	1325	2090
194	1332	2084
195	1336	2072
196	1338	2059
197	1342	2048
198	1348	2039
199	1372	2058
200	1380	2054
201	1388	2048
202	1394	2040
203	1401	2032
204	1404	2020
205	1407	2008
206	1410	1996
207	1413	1984
208	1417	1972
209	1420	1961
210	1423	1949
211	1426	1938
212	1430	1928
213	1438	1922
214	1444	1915
215	1455	1913
216	1467	1913
217	1485	1921
218	1491	1914
219	1497	1906
220	1512	1909
221	1524	1909
222	1535	1906
223	1571	1936
224	1578	1928
225	1584	1921
226	1593	1915
227	1598	1907
228	1602	1895
229	1604	1884
230	1609	1873
231	1612	1862
232	1615	1850
233	1618	1839
234	1621	1828
235	1628	1822
236	1635	1814
237	1640	1806
238	1651	1803
239	1657	1795
240	1662	1786
241	1667	1777
242	1669	1766
243	1673	1755
244	1676	1745
245	1685	1739
246	1689	1730
247	1694	1722
248	1705	1718
249	1712	1712
250	1718	1705
251	1727	1700
252	1731	1690
253	1735	1680
254	1741	1673
255	1749	1667
256	1753	1657
257	1756	1648
258	1760	1637
259	1763	1627
260	1771	1622
261	1801	1636
262	1841	1659
263	1845	1649
264	1849	1640
265	1859	1635
266	1863	1626
267	1866	1615
268	1869	1605
269	1875	1597
270	1881	1589
271	1885	1580
272	1891	1572
273	1900	1567
274	1906	1560
275	1914	1554
276	1922	1547
277	1925	1537
278	1934	1532
279	1940	1524
280	1943	1515
281	1947	1505
282	1951	1496
283	1954	1486
284	1957	1476
285	1960	1466
286	1963	1457
287	1966	1447
288	1971	1439
289	1976	1431
290	1982	1423
291	1986	1415
292	1991	1407
293	1997	1399
294	2000	1390
295	2006	1382
296	2011	1374
297	2018	1367
298	2035	1368
299	2038	1359
300	2047	1353
301	2050	1344
302	2053	1335
303	2057	1326
304	2061	1317
305	2065	1309
306	2070	1301
307	2085	1300
308	2099	1297
309	2113	1295
310	2130	1295
311	2142	1291
312	2148	1283
313	2154	1276
314	2166	1272
315	2169	1263
316	2172	1253
317	2176	1245
318	2179	1236
319	2182	1227
320	2186	1219
321	2191	1211
322	2197	1204
323	2202	1196
324	2207	1188
325	2213	1181
326	2216	1172
327	2219	1163
328	2222	1155
329	2225	1146
330	2231	1139
331	2235	1131
332	2238	1122
333	2241	1113
334	2245	1105
335	2250	1098
336	2253	1089
337	2256	1081
338	2259	1073
339	2262	1064
340	2265	1056
341	2269	1048
342	2273	1040
343	2277	1032
344	2282	1025
345	2287	1018
346	2298	1013
347	2311	1009
348	2318	1003
349	2323	995
350	2332	990
351	2336	982
352	2339	974
353	2345	967
354	2348	959
355	2351	951
356	2355	943
357	2358	935
358	2362	927
359	2367	920
360	2373	914
361	2378	906
362	2384	899
363	2390	893
364	2393	885
365	2396	877
366	2399	869
367	2403	862
368	2406	854
369	2409	846
370	2413	839
371	2416	831
372	2423	825
373	2426	817
374	2429	809
375	2432	802
376	2436	794
377	2440	787
378	2444	780
379	2447	772
380	2450	765
381	2454	758
382	2458	750
383	2463	744
384	2466	736
385	2469	729
386	2472	722
387	2475	714
388	2480	707
389	2487	701
390	2500	697
391	2508	690
392	2514	684
393	2520	678
394	2524	670
395	2527	663
396	2530	656
397	2536	650
398	2542	643
399	2547	636
400	2551	629
401	2558	623
402	2562	616
403	2565	609
404	2568	602
405	2571	595
406	2577	588
407	2580	581
408	2583	574
409	2586	567
410	2589	560
411	2594	554
412	2597	547
413	2600	540
414	2603	533
415	2606	526
416	2609	519
417	2613	512
418	2616	505
419	2619	498
420	2622	492
421	2625	485
422	2628	478
423	2633	471
424	2636	465
425	2639	458
426	2642	451
427	2645	445
428	2648	438
429	2652	431
430	2655	425
431	2658	418
432	2661	411
433	2664	405
434	2668	398
435	2671	392
436	2678	386
437	2684	379
438	2695	374
439	2709	369
440	2713	362
441	2716	356
442	2719	349
443	2725	343
444	2731	337
445	2736	331
446	2741	325
447	2747	318
448	2750	312
449	2753	305
450	2757	299
451	2766	293
452	2774	287
453	2777	281
454	2781	275
455	2786	268
456	2791	262
457	2795	256
458	2800	250
459	2804	243
460	2807	237
461	2810	231
462	2813	224
463	2816	218
464	2821	212
465	2825	206
466	2830	200
